mean_hastags,unique_hashtags,tweets_with_hashtags,no_hashtags,total_tweets
1.205128205128205,20,39,73,112
1.4968944099378882,665,644,2508,3152
1.4428822495606326,549,569,2470,3039
2.4410994764397906,1033,764,2242,3006
1.2,135,145,1667,1812
1.1626506024096386,127,166,2740,2906
1.015625,61,64,2877,2941
1.212987012987013,231,385,2574,2959
1.236842105263158,134,228,2685,2913
1.0898876404494382,137,801,2216,3017
1.3305785123966942,107,121,2881,3002
1.1826003824091778,272,1046,1921,2967
1.2,123,145,2726,2871
1.3564356435643565,276,303,1327,1630
1.1806451612903226,119,155,2547,2702
1.9285714285714286,384,308,2420,2728
1.1545454545454545,86,110,2902,3012
1.380952380952381,212,273,2536,2809
1.5454545454545454,34,33,97,130
1.1692047377326564,267,591,2490,3081
1.0452790452790452,194,2849,213,3062
1.3778409090909092,460,704,2169,2873
1.2046450482033304,460,2282,806,3088
1.3595800524934383,330,381,2503,2884
1.24,105,200,2321,2521
1.8269896193771626,765,578,1657,2235
2.1292466765140325,587,2708,286,2994
1.398655139289145,770,1041,1286,2327
1.24282982791587,462,1046,1902,2948
1.2423469387755102,490,784,2182,2966
1.5069767441860464,958,1290,1785,3075
1.2237521514629948,247,581,2382,2963
1.9542379625945085,1490,2513,605,3118
1.1654135338345866,205,266,2684,2950
2.0393700787401574,467,381,296,677
1.8269896193771626,765,578,1657,2235
1.3983957219251337,805,1496,1379,2875
1.2722222222222221,153,180,2692,2872
1.295971978984238,512,571,1682,2253
1.5714285714285714,8,49,22,71
1.2945859872611465,319,1256,1893,3149
1.640625,168,192,147,339
1.3208191126279865,248,293,2667,2960
1.1995708154506437,327,932,1913,2845
1.537037037037037,959,1998,1099,3097
1.1598173515981736,144,219,2740,2959
2.1538461538461537,723,910,1321,2231
1.4994629430719657,916,931,2027,2958
1.0392156862745099,20,51,123,174
1.306701030927835,230,388,800,1188
1.2793220338983051,726,1475,1602,3077
1.3668122270742358,391,458,2647,3105
1.504326328800989,678,809,740,1549
1.2105263157894737,63,76,610,686
1.0555555555555556,37,54,326,380
1.3657718120805369,306,298,2712,3010
1.0886075949367089,58,79,2796,2875
2.1752380952380954,1901,1575,1162,2737
1.4438419829589466,777,1291,1825,3116
1.3478260869565217,31,23,139,162
3.2475124378109452,655,1608,1451,3059
1.1732283464566928,132,127,279,406
1.7899053627760253,2008,1585,975,2560
1.2228530872959547,559,1409,1392,2801
1.56857855361596,720,802,677,1479
2.319277108433735,242,166,1170,1336
1.1875,116,112,2720,2832
1.4143968871595332,427,514,823,1337
1.27,114,200,298,498
1.1396011396011396,250,351,2646,2997
1.5,41,32,253,285
1.3772727272727272,393,660,925,1585
1.2793220338983051,726,1475,1602,3077
1.504326328800989,678,809,740,1549
1.910569105691057,144,123,108,231
1.4770642201834863,1228,1308,1742,3050
1.3141592920353982,489,452,1759,2211
1.8236040609137056,576,788,2155,2943
2.1752380952380954,1901,1575,1162,2737
1.526854219948849,436,391,2595,2986
2.2278225806451615,564,496,157,653
1.1875,116,112,2720,2832
1.926589077887198,893,1117,1857,2974
1.6226244343891403,1147,1105,1769,2874
1.3772727272727272,393,660,925,1585
1.1104536489151873,187,507,2422,2929
1.6663560111835973,545,1073,1516,2589
1.1958762886597938,502,485,2065,2550
1.2337752965806001,1109,1433,1490,2923
1.526854219948849,436,391,2594,2985
2.227272727272727,145,88,215,303
1.5550098231827112,1175,1018,1774,2792
1.448377581120944,243,339,2708,3047
1.2837837837837838,182,296,1056,1352
1.4385964912280702,74,57,2753,2810
1.2123893805309736,121,113,194,307
1.3855421686746987,183,249,841,1090
4.536852589641434,934,2008,1026,3034
1.6226244343891403,1147,1105,1769,2874
1.5632946379215036,851,1809,1304,3113
1.4947368421052631,117,95,124,219
1.5818815331010454,672,1435,1646,3081
1.1104536489151873,187,507,2422,2929
1.2391304347826086,122,138,530,668
1.2337752965806001,1109,1433,1490,2923
2.227272727272727,145,88,215,303
1.0977011494252873,118,348,2245,2593
1.3168195718654434,1156,1635,1362,2997
1.8695652173913044,97,69,111,180
1.4385964912280702,74,57,2752,2809
1.2123893805309736,121,113,194,307
1.0521172638436482,34,307,2574,2881
1.5580736543909348,890,706,915,1621
1.3855421686746987,183,249,842,1091
1.3923123856009763,509,1639,1509,3148
1.1376953125,555,1024,2068,3092
1.4230769230769231,30,26,796,822
1.1538461538461537,14,13,236,249
1.5632946379215036,851,1809,1304,3113
1.4947368421052631,117,95,124,219
1.2391304347826086,122,138,530,668
1.496124031007752,668,645,2509,3154
1.3696969696969696,162,165,207,372
1.8695652173913044,97,69,111,180
1.0521172638436482,34,307,2574,2881
1.2258064516129032,180,186,2523,2709
1.1980582524271846,348,515,2341,2856
1.5339805825242718,122,103,337,440
1.0935162094763091,140,802,2222,3024
3.6147757255936677,689,379,4,383
1.2402088772845954,351,383,2783,3166
1.0,14,14,854,868
1.7573812580231065,691,779,2178,2957
1.1341991341991342,156,231,2454,2685
1.2280701754385965,202,285,2629,2914
1.2432432432432432,214,222,387,609
1.393162393162393,509,1638,1511,3149
1.1486486486486487,66,74,2718,2792
2.126829268292683,544,410,1143,1553
2.944,209,125,174,299
1.3146067415730338,456,445,2242,2687
1.2025316455696202,77,79,3018,3097
1.356020942408377,330,382,2506,2888
1.1341991341991342,156,231,2455,2686
1.1657142857142857,310,350,2791,3141
1.7857142857142858,963,1176,1510,2686
1.1486486486486487,66,74,2718,2792
1.1574585635359116,314,362,2615,2977
1.5497762863534676,345,1788,767,2555
1.5497762863534676,345,1788,767,2555
1.417462482946794,646,733,2342,3075
1.2849604221635884,267,379,2558,2937
1.2849604221635884,267,379,2558,2937
1.5714285714285714,8,49,22,71
1.5714285714285714,8,49,22,71
1.287215411558669,448,571,1428,1999
1.2945859872611465,319,1256,1893,3149
1.2945859872611465,319,1256,1893,3149
1.640625,168,192,147,339
1.640625,168,192,147,339
1.3865248226950355,442,564,2562,3126
1.2696728558797525,374,1131,1876,3007
1.8771929824561404,311,456,1079,1535
1.1598173515981736,144,219,2740,2959
1.3208191126279865,248,293,2669,2962
1.2122065727699531,495,1065,1943,3008
5.292894280762565,1346,577,41,618
1.1598173515981736,144,219,2740,2959
1.5588633288227334,697,739,2296,3035
1.306701030927835,230,388,800,1188
1.306701030927835,230,388,800,1188
2.504934210526316,1864,1216,1247,2463
1.3657718120805369,306,298,2712,3010
1.4438419829589466,777,1291,1825,3116
1.3478260869565217,31,23,139,162
1.1732283464566928,132,127,279,406
2.0454545454545454,761,1232,1650,2882
1.1505190311418685,187,578,1798,2376
1.1732283464566928,132,127,279,406
1.1849315068493151,117,146,2649,2795
1.1396011396011396,250,351,2647,2998
1.5,41,32,254,286
1.560229445506692,825,1046,2051,3097
1.319201995012469,355,401,2558,2959
1.2570281124497993,340,498,2520,3018
1.1090909090909091,136,165,661,826
2.319277108433735,242,166,1170,1336
1.1090909090909091,136,165,661,826
1.4259927797833936,248,277,2501,2778
2.131849315068493,677,1168,1816,2984
1.800718132854578,1092,1114,1898,3012
1.8236040609137056,576,788,2153,2941
2.2248995983935744,568,498,157,655
1.5635593220338984,332,236,1752,1988
1.4259927797833936,248,277,2501,2778
1.5635593220338984,332,236,1752,1988
1.1954732510288066,503,486,2065,2551
1.2771929824561403,208,285,1470,1755
1.3,19,20,1096,1116
1.1768545994065283,572,1685,1414,3099
1.2156862745098038,49,51,2877,2928
1.6153846153846154,14,13,44,57
1.2156862745098038,49,51,2877,2928
4.538576406172225,934,2009,1026,3035
1.5814763231197773,672,1436,1646,3082
1.2362637362637363,130,182,2667,2849
1.685382381413359,946,1033,1548,2581
1.5550098231827112,1175,1018,1774,2792
1.6153846153846154,14,13,44,57
1.362369337979094,267,287,2649,2936
4.538576406172225,934,2009,1026,3035
1.9066339066339066,437,814,605,1419
1.5580736543909348,890,706,915,1621
1.5814763231197773,672,1436,1646,3082
1.1376953125,555,1024,2068,3092
1.4074074074074074,31,27,841,868
1.1538461538461537,14,13,236,249
1.685382381413359,946,1033,1548,2581
1.2222222222222223,579,1170,1908,3078
1.0977011494252873,118,348,2247,2595
1.5580736543909348,890,706,915,1621
1.1376953125,555,1024,2068,3092
1.4074074074074074,31,27,841,868
1.1538461538461537,14,13,236,249
